501  11
1.515 1.52
C	b0	maxLength	maxGain	maxGain[dB]
0.0196	1.5155	124.217	53.7861	556
0.0197	1.5155	123.587	53.7472	557
0.0198	1.5155	122.963	53.7076	558
0.0199	1.5155	122.345	53.6668	559
0.02	1.5155	121.733	53.6241	560
0.019	1.51551	128.139	54.0628	561
0.0191	1.51551	127.468	54.0228	562
0.0192	1.51551	126.804	53.984	563
0.0193	1.51551	126.147	53.9459	564
0.0194	1.51551	125.497	53.9066	565
0.0195	1.51551	124.854	53.8668	566
0.0196	1.51551	124.217	53.8278	567
0.0197	1.51551	123.586	53.7887	568
0.0198	1.51551	122.962	53.7489	569
0.0199	1.51551	122.345	53.7079	570
0.02	1.51551	121.733	53.665	571
0.019	1.51552	128.139	54.1058	572
0.0191	1.51552	127.468	54.0656	573
0.0192	1.51552	126.804	54.0266	574
0.0193	1.51552	126.147	53.9884	575
0.0194	1.51552	125.497	53.9489	576
0.0195	1.51552	124.854	53.9089	577
0.0196	1.51552	124.217	53.8696	578
0.0197	1.51552	123.586	53.8304	579
0.0198	1.51552	122.962	53.7904	580
0.0199	1.51552	122.344	53.7491	581
0.02	1.51552	121.733	53.706	582
0.019	1.51553	128.138	54.149	583
0.0191	1.51553	127.468	54.1087	584
0.0192	1.51553	126.804	54.0695	585
0.0193	1.51553	126.147	54.031	586
0.0194	1.51553	125.497	53.9913	587
0.0195	1.51553	124.853	53.9511	588
0.0196	1.51553	124.217	53.9117	589
0.0197	1.51553	123.586	53.8723	590
0.0198	1.51553	122.962	53.8321	591
0.0199	1.51553	122.344	53.7906	592
0.02	1.51553	121.733	53.7473	593
0.019	1.51554	128.138	54.1925	594
0.0191	1.51554	127.468	54.1519	595
0.0192	1.51554	126.804	54.1125	596
0.0193	1.51554	126.147	54.0739	597
0.0194	1.51554	125.497	54.034	598
0.0195	1.51554	124.853	53.9936	599
0.0196	1.51554	124.216	53.954	600
0.0197	1.51554	123.586	53.9144	601
0.0198	1.51554	122.962	53.874	602
